f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,class
-0.290,-0.120,-0.939,-0.292,-0.098,-0.929,-0.266,-0.104,-0.890,-0.215,-0.010,-0.810,-0.352,0.159,-0.758,-0.400,0.371,-0.971,-0.368,0.522,-0.881,-0.284,0.736,-0.669,-0.367,0.866,-0.471,-0.393,0.861,-0.333,-0.395,0.826,-0.143,-0.357,0.877,-0.041,-0.331,0.951,-0.049,-0.271,1.007,-0.044,-0.273,0.977,0.008,-0.352,0.159,-0.758,-48.524,78.219,-79.190,-0.323,0.521,-0.528,0.058,0.430,0.377,-0.181,0.825,-0.715,NoTouching
-0.384,0.743,-0.069,-0.321,0.912,-0.262,-0.381,0.899,-0.090,-0.463,0.962,0.043,-0.521,0.804,-0.131,-0.444,0.711,-0.147,-0.292,0.988,0.108,-0.285,1.016,0.416,-0.424,0.811,0.623,-0.454,0.559,0.732,-0.432,0.549,0.596,-0.421,0.842,0.501,-0.358,0.819,0.447,-0.377,0.812,0.431,-0.420,0.676,0.537,-0.451,0.612,0.618,-60.223,121.657,37.955,-0.399,0.806,0.251,0.072,0.169,0.331,-0.180,0.210,1.315,NoTouching
-0.398,0.719,0.683,-0.396,0.732,0.580,-0.411,0.807,0.453,-0.522,0.771,0.384,-0.570,0.847,0.289,-0.550,0.790,0.096,-0.526,0.792,-0.048,-0.528,0.739,-0.045,-0.571,0.691,0.048,-0.626,0.689,0.282,-0.517,0.811,0.250,-0.411,0.961,0.226,-0.400,0.855,0.304,-0.435,0.726,0.515,-0.504,0.585,0.750,-0.487,0.494,0.752,-74.123,115.623,48.422,-0.491,0.766,0.321,0.078,0.099,0.245,-0.158,0.129,0.765,NoTouching
-0.372,0.677,0.632,-0.395,0.577,0.784,-0.395,0.745,0.754,-0.323,0.695,0.202,-0.259,0.919,-0.028,-0.354,0.922,0.346,-0.365,0.731,0.589,-0.359,0.566,0.758,-0.346,0.617,0.754,-0.343,0.786,0.610,-0.333,0.873,0.546,-0.343,0.916,0.506,-0.459,0.909,0.567,-0.527,0.758,0.359,-0.501,0.639,0.005,-0.575,0.691,-0.030,-57.310,114.006,73.808,-0.380,0.755,0.489,0.076,0.173,0.270,-0.202,0.229,0.553,NoTouching
-0.556,0.797,-0.106,-0.575,0.858,0.312,-0.488,0.833,0.426,-0.451,0.689,0.584,-0.453,0.682,0.726,-0.455,0.690,0.744,-0.460,0.539,0.655,-0.447,0.651,0.570,-0.378,0.794,0.400,-0.389,0.863,0.338,-0.495,0.729,0.569,-0.724,0.768,0.583,-0.800,0.628,0.437,-0.748,0.552,0.349,-0.462,0.593,0.427,-0.295,0.739,0.525,-79.104,107.408,70.674,-0.524,0.711,0.468,0.133,0.117,0.211,-0.253,0.164,0.450,NoTouching
-0.393,0.449,-0.773,-0.399,0.391,-0.731,-0.382,0.470,-0.621,-0.415,0.763,-0.653,-0.485,0.676,-0.458,-0.310,0.446,-0.596,-0.297,0.689,-0.850,-0.401,0.483,-0.836,-0.341,0.348,-0.831,-0.312,0.407,-0.830,-0.298,0.400,-0.834,-0.344,0.424,-0.862,-0.341,0.388,-0.862,-0.333,0.363,-0.852,-0.356,0.367,-0.841,-0.421,0.480,-0.804,-54.487,71.107,-115.103,-0.361,0.471,-0.762,0.064,0.166,0.132,-0.177,0.352,-0.174,NoTouching
-0.404,0.778,-0.353,-0.375,0.600,-0.579,-0.560,0.582,-0.607,-0.410,0.725,-0.551,-0.450,0.635,-0.224,-0.487,0.965,0.157,-0.423,0.959,0.330,-0.337,0.995,0.427,-0.338,0.720,0.604,-0.405,0.616,0.364,-0.475,0.763,0.323,-0.526,0.748,0.492,-0.485,0.805,0.577,-0.454,0.683,0.571,-0.475,0.594,0.656,-0.463,0.615,0.600,-66.514,112.287,22.455,-0.440,0.744,0.149,0.077,0.203,0.467,-0.175,0.273,3.144,NoTouching
-0.466,0.728,0.495,-0.514,0.634,0.591,-0.476,0.513,0.655,-0.499,0.454,0.722,-0.548,0.421,0.793,-0.537,0.460,0.766,-0.511,0.698,0.582,-0.367,0.785,0.274,-0.454,0.770,0.480,-0.522,0.571,0.657,-0.522,0.445,0.708,-0.528,0.471,0.733,-0.523,0.511,0.702,-0.489,0.503,0.700,-0.497,0.723,0.584,-0.479,0.696,0.502,-75.017,87.573,94.913,-0.497,0.580,0.629,0.047,0.138,0.136,-0.094,0.238,0.217,NoTouching
-0.570,0.847,0.435,-0.513,0.549,-0.009,-0.377,0.598,-0.671,-0.176,0.303,-1.136,-0.281,0.337,-0.996,-0.429,0.430,-0.761,-0.455,0.516,-0.740,-0.426,0.430,-0.736,-0.405,0.353,-0.850,-0.416,0.340,-0.828,-0.433,0.378,-0.782,-0.420,0.364,-0.792,-0.424,0.392,-0.811,-0.417,0.389,-0.789,-0.373,0.390,-0.810,-0.281,0.337,-0.996,-61.147,66.146,-102.739,-0.408,0.441,-0.685,0.095,0.165,0.390,-0.232,0.374,-0.570,NoTouching
-0.492,0.423,-0.466,-0.311,0.397,-0.898,-0.383,0.266,-0.887,-0.470,0.441,-0.728,-0.433,0.472,-0.681,-0.376,0.401,-0.776,-0.343,0.469,-0.794,-0.368,0.587,-0.739,-0.458,0.738,-0.735,-0.531,0.639,-0.778,-0.514,0.376,-0.724,-0.471,0.410,-0.650,-0.375,0.372,-0.714,-0.368,0.360,-0.834,-0.484,0.426,-0.762,-0.433,0.472,-0.681,-63.768,67.761,-111.651,-0.425,0.452,-0.744,0.082,0.134,0.112,-0.194,0.298,-0.150,NoTouching
