f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,class
-0.292,-0.286,-0.293,-0.239,-0.220,-0.345,-0.398,-0.392,-0.344,-0.276,-0.357,-0.402,-0.383,-0.397,-0.350,-0.331,-0.286,-0.276,-0.266,0.133,0.991,0.978,0.979,0.899,0.830,0.846,1.065,78.219,0.521,0.430,0.825,0.774,0.393,0.380,1.000,-0.413,1.493,NoTouching
-0.389,-0.344,-0.325,-0.405,-0.473,-0.524,-0.488,-0.361,-0.257,-0.298,-0.424,-0.435,-0.474,-0.411,-0.421,-0.340,-0.381,-0.396,-0.436,0.801,0.811,0.998,0.963,1.033,1.062,0.966,0.877,121.657,0.806,0.169,0.210,0.808,0.143,0.143,0.000,0.059,2.165,NoTouching
-0.392,-0.398,-0.392,-0.444,-0.532,-0.574,-0.556,-0.542,-0.511,-0.534,-0.563,-0.621,-0.603,-0.471,-0.399,-0.397,-0.423,-0.462,-0.516,0.853,1.053,1.041,1.008,1.025,0.998,1.075,0.975,115.623,0.766,0.099,0.129,0.783,0.076,0.074,0.000,-0.093,3.730,NoTouching
-0.374,-0.377,-0.406,-0.394,-0.307,-0.239,-0.343,-0.373,-0.359,-0.356,-0.348,-0.339,-0.338,-0.332,-0.348,-0.438,-0.551,-0.485,-0.524,0.910,0.998,1.012,1.129,1.116,0.720,0.942,1.050,114.006,0.755,0.173,0.229,0.747,0.143,0.143,0.000,0.097,2.833,NoTouching
-0.548,-0.580,-0.552,-0.457,-0.452,-0.451,-0.456,-0.455,-0.465,-0.441,-0.385,-0.366,-0.427,-0.565,-0.740,-0.803,-0.781,-0.629,-0.384,0.668,0.970,1.056,1.098,1.008,1.023,1.085,1.139,107.408,0.711,0.117,0.164,0.705,0.097,0.097,0.000,0.000,2.174,NoTouching
-0.397,-0.389,-0.426,-0.354,-0.422,-0.485,-0.380,-0.234,-0.378,-0.389,-0.344,-0.319,-0.302,-0.307,-0.347,-0.349,-0.327,-0.329,-0.382,0.740,0.988,0.917,0.851,0.961,1.115,0.997,0.753,71.107,0.471,0.166,0.352,0.416,0.116,0.105,0.000,1.979,7.169,NoTouching
-0.409,-0.363,-0.448,-0.594,-0.372,-0.437,-0.506,-0.442,-0.421,-0.315,-0.330,-0.391,-0.430,-0.491,-0.541,-0.483,-0.467,-0.463,-0.472,0.591,0.964,0.916,0.963,1.019,0.974,0.801,1.058,112.287,0.744,0.203,0.273,0.721,0.147,0.146,0.000,0.328,4.791,NoTouching
-0.461,-0.510,-0.497,-0.475,-0.503,-0.543,-0.553,-0.530,-0.460,-0.367,-0.443,-0.517,-0.519,-0.528,-0.526,-0.522,-0.510,-0.476,-0.501,0.428,0.996,0.997,1.004,0.948,0.993,1.047,1.059,87.573,0.580,0.138,0.238,0.535,0.121,0.119,0.000,0.509,2.342,NoTouching
-0.569,-0.534,-0.468,-0.322,-0.152,-0.252,-0.409,-0.461,-0.449,-0.418,-0.404,-0.415,-0.439,-0.414,-0.421,-0.422,-0.416,-0.413,-0.355,0.302,1.185,0.750,0.866,1.084,1.202,1.115,0.955,66.146,0.441,0.165,0.374,0.400,0.111,0.103,0.000,2.201,10.038,NoTouching
-0.547,-0.307,-0.308,-0.436,-0.472,-0.439,-0.389,-0.353,-0.343,-0.375,-0.447,-0.534,-0.521,-0.510,-0.457,-0.379,-0.338,-0.444,-0.496,0.476,0.833,0.964,1.011,0.985,0.973,0.928,0.942,67.761,0.452,0.134,0.298,0.439,0.105,0.104,0.000,0.618,3.045,NoTouching
